Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Machines_base_FreqSum,2.70E-9,1.19E-9,2.39E-9,7.78E-9,1.18E-9,3.06E-4,2.76E-5,3.05E-4,4.15E-3,5.12E-5,1.57E-4,3.09E-6,1.68E-3,1.36E-6,2.22E-5,7.64E-6,2.32E-6,8.06E-5,4.70E-5,2.04E-6,1.12E-5,3.90E-6,3.41E-5,2.61E-5,1.69E-2,--,--,--,--,--,--,--,--,--,--,--
Machines_base_GreedyKL,2.56E-10,1.61E-10,2.26E-10,4.17E-10,1.43E-10,1.34E-5,8.55E-7,8.34E-6,4.62E-4,1.12E-6,5.73E-6,2.83E-8,1.79E-4,5.43E-8,3.56E-6,5.10E-7,3.07E-8,1.92E-6,8.55E-7,5.72E-8,6.21E-7,6.58E-8,1.71E-6,1.81E-6,9.17E-3,4.61E-1,--,--,--,--,--,--,--,--,--,--
Machines_base_LexRank,1.27E-8,5.27E-9,9.94E-9,3.92E-8,4.36E-9,7.85E-3,7.93E-4,5.95E-3,7.47E-2,3.36E-3,3.91E-3,1.66E-4,3.08E-2,3.07E-5,1.18E-3,3.02E-4,6.85E-5,2.26E-3,1.30E-3,3.24E-5,5.45E-4,7.94E-5,1.10E-3,9.00E-4,1.75E-1,1.73E-1,8.04E-2,--,--,--,--,--,--,--,--,--
Machines_base_TsSum,3.83E-10,2.14E-10,3.21E-10,6.64E-10,1.80E-10,9.76E-6,1.14E-6,5.70E-6,1.77E-4,2.48E-6,4.81E-6,1.23E-7,9.04E-5,6.45E-8,2.41E-6,6.02E-7,8.64E-8,2.45E-6,1.18E-6,7.93E-8,9.26E-7,1.27E-7,1.66E-6,1.48E-6,1.06E-3,9.79E-2,1.01E-1,1.01E-2,--,--,--,--,--,--,--,--
Machines_soa_CLASSY04,6.77E-8,2.42E-8,5.30E-8,3.02E-7,2.10E-8,1.27E-1,2.10E-2,8.74E-2,5.00E-1,7.14E-2,7.70E-2,3.71E-3,3.06E-1,4.49E-4,3.26E-2,6.57E-3,1.68E-3,3.86E-2,2.32E-2,7.13E-4,1.29E-2,1.73E-3,3.10E-2,1.91E-2,3.70E-1,6.18E-3,1.57E-3,8.63E-2,3.96E-4,--,--,--,--,--,--,--
Machines_soa_CLASSY11,1.57E-8,5.88E-9,1.38E-8,6.73E-8,6.12E-9,3.65E-2,4.09E-3,2.68E-2,2.20E-1,1.28E-2,2.08E-2,4.69E-4,1.23E-1,6.95E-5,5.30E-3,1.14E-3,2.29E-4,8.30E-3,5.30E-3,1.19E-4,2.18E-3,3.02E-4,5.46E-3,3.75E-3,3.78E-1,2.18E-2,7.23E-3,1.88E-1,1.41E-3,2.54E-1,--,--,--,--,--,--
Machines_soa_DPP,1.10E-8,4.55E-9,1.00E-8,6.17E-8,4.95E-9,8.75E-2,1.05E-2,6.51E-2,4.38E-1,3.85E-2,4.95E-2,1.15E-3,2.44E-1,1.43E-4,1.57E-2,2.93E-3,4.91E-4,2.34E-2,1.24E-2,1.92E-4,5.36E-3,4.77E-4,1.54E-2,9.32E-3,4.15E-1,4.63E-3,9.10E-4,7.60E-2,2.47E-4,4.46E-1,2.73E-1,--,--,--,--,--
Machines_soa_ICSISumm,3.66E-10,1.93E-10,3.85E-10,1.47E-9,2.46E-10,2.48E-3,1.45E-4,1.52E-3,4.03E-2,3.63E-4,1.19E-3,3.53E-6,1.79E-2,1.38E-6,4.55E-4,3.74E-5,2.35E-6,2.59E-4,1.26E-4,1.86E-6,6.84E-5,3.31E-6,2.69E-4,1.65E-4,1.70E-1,6.41E-2,2.78E-2,3.96E-1,6.36E-3,7.16E-2,2.29E-1,7.98E-2,--,--,--,--
Machines_soa_OCCAMS_V,8.40E-10,3.30E-10,8.52E-10,4.47E-9,4.32E-10,2.32E-2,1.80E-3,1.37E-2,2.20E-1,4.64E-3,1.14E-2,4.98E-5,1.06E-1,9.06E-6,3.74E-3,3.11E-4,3.62E-5,3.37E-3,1.45E-3,2.35E-5,7.13E-4,4.90E-5,3.19E-3,1.43E-3,4.15E-1,4.58E-3,1.92E-3,1.40E-1,6.27E-4,2.53E-1,4.00E-1,3.37E-1,1.45E-1,--,--,--
Machines_soa_RegSum,4.89E-10,2.42E-10,4.63E-10,1.37E-9,2.62E-10,2.95E-5,3.30E-6,2.70E-5,4.22E-4,8.47E-6,1.71E-5,5.60E-7,1.79E-4,1.95E-7,3.83E-6,1.09E-6,3.09E-7,9.29E-6,5.18E-6,1.90E-7,1.87E-6,3.83E-7,3.82E-6,3.14E-6,2.07E-3,9.78E-2,1.44E-1,2.42E-2,4.88E-1,7.14E-4,1.99E-3,4.68E-4,8.52E-3,6.30E-4,--,--
Machines_soa_Submodular,2.67E-8,7.35E-9,3.17E-8,7.04E-7,1.44E-8,2.95E-1,3.25E-1,3.69E-1,1.91E-2,2.94E-1,4.03E-1,1.25E-1,1.04E-1,6.38E-3,3.32E-1,8.18E-2,4.68E-2,4.84E-1,3.12E-1,6.34E-3,1.88E-1,2.26E-2,3.58E-1,1.69E-1,3.16E-2,8.07E-5,2.22E-6,2.04E-3,2.31E-6,3.98E-2,8.65E-3,1.95E-2,2.96E-4,4.26E-3,9.06E-6,--
