,system_a,system_b,p_value
118,Humans_abstr_114,Humans_duc_F,2.82E-4
119,Humans_abstr_114,Humans_duc_G,2.67E-7
120,Humans_abstr_114,Humans_duc_H,4.08E-4
121,Humans_abstr_114,Humans_movi_101,3.07E-1
122,Humans_abstr_114,Humans_movi_102,4.36E-1
123,Humans_abstr_114,Humans_movi_103,4.02E-1
124,Humans_abstr_114,Humans_movi_104,2.39E-1
125,Humans_abstr_114,Humans_movi_105,8.96E-2
126,Humans_abstr_114,Humans_movi_110,7.76E-2
127,Humans_abstr_114,Humans_movi_111,1.81E-1
128,Humans_abstr_114,Humans_movi_112,2.01E-2
129,Humans_abstr_114,Humans_movi_113,2.93E-1
130,Humans_abstr_114,Humans_movi_114,1.81E-1
131,Humans_abstr_114,Humans_movi_115,2.38E-2
132,Humans_abstr_114,Machines_base_Centroid,1.23E-9
133,Humans_abstr_114,Machines_base_FreqSum,2.38E-10
134,Humans_abstr_114,Machines_base_GreedyKL,3.74E-10
135,Humans_abstr_114,Machines_base_LexRank,1.31E-8
136,Humans_abstr_114,Machines_base_TsSum,1.15E-9
137,Humans_abstr_114,Machines_soa_CLASSY04,2.30E-9
138,Humans_abstr_114,Machines_soa_CLASSY11,3.32E-9
139,Humans_abstr_114,Machines_soa_DPP,3.66E-10
140,Humans_abstr_114,Machines_soa_ICSISumm,8.50E-10
141,Humans_abstr_114,Machines_soa_OCCAMS_V,2.03E-8
142,Humans_abstr_114,Machines_soa_RegSum,8.35E-10
143,Humans_abstr_114,Machines_soa_Submodular,5.48E-8
149,Humans_abstr_115,Humans_duc_A,8.99E-10
150,Humans_abstr_115,Humans_duc_B,4.52E-3
151,Humans_abstr_115,Humans_duc_C,4.00E-2
152,Humans_abstr_115,Humans_duc_D,1.64E-1
153,Humans_abstr_115,Humans_duc_E,7.56E-2
154,Humans_abstr_115,Humans_duc_F,9.23E-4
155,Humans_abstr_115,Humans_duc_G,7.11E-7
156,Humans_abstr_115,Humans_duc_H,1.17E-3
157,Humans_abstr_115,Humans_movi_101,4.86E-1
158,Humans_abstr_115,Humans_movi_102,3.56E-1
159,Humans_abstr_115,Humans_movi_103,3.97E-1
160,Humans_abstr_115,Humans_movi_104,4.13E-1
161,Humans_abstr_115,Humans_movi_105,1.90E-1
162,Humans_abstr_115,Humans_movi_110,1.65E-1
