system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,OPEN_QUOT,PERIOD,COMMA,CLOSING_QUOT,TWO_PTS,SEMICOLON,DOLLAR,POUND,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N],Topic-Change[N][N],TotalRST
23959320.Z,5,3,0,3,1,1,0,1,3,111,6,1,17,1,2,2,0,1,0,0,0,0,0,0,0,6,5,1,9,0,0,13,8,0,0,0,1,12,7,7,0,0,0,10,5,5,1,0,0,0,5,0,2,1,6,2,6,4,0,1,0,1,1,5,3,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,12
10613136.Z,4,1,0,3,0,1,0,0,9,113,1,0,6,2,2,0,0,2,0,0,0,0,2,0,0,8,6,2,15,0,0,15,8,0,0,0,0,19,6,8,0,0,0,2,0,0,0,0,0,0,5,0,4,0,0,6,3,6,0,3,0,1,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,11
25807540.Z,5,5,0,2,1,2,0,0,4,108,7,0,18,0,9,5,0,3,0,2,0,0,0,0,0,19,2,1,6,0,0,13,3,0,0,0,0,14,0,21,0,0,0,6,3,4,0,0,0,0,7,0,3,1,5,3,0,11,1,1,0,1,1,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,1,2,0,0,1,0,0,0,16
35012987.Z,6,2,0,3,0,3,0,0,6,125,4,3,12,0,0,1,0,0,3,4,0,0,0,0,0,8,9,1,14,0,0,13,7,1,0,0,1,27,5,1,1,0,1,6,4,4,0,0,1,0,3,0,4,0,1,2,5,5,0,0,0,2,1,6,11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,4,0,0,0,0,0,0,0,13
9765282.Z,7,5,0,6,1,0,0,0,7,114,2,0,18,1,9,3,5,0,2,0,0,0,0,0,0,20,5,2,17,0,0,17,10,0,0,0,1,18,4,15,1,0,0,5,0,4,0,0,0,0,0,0,2,0,0,1,5,5,0,0,0,2,0,7,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,12
7930086.Z,5,2,0,3,1,1,0,0,3,109,2,0,28,0,0,4,0,0,1,0,0,0,0,0,0,5,4,0,17,0,0,18,4,0,0,0,0,19,11,5,1,0,0,2,0,3,0,0,0,0,3,0,1,0,3,4,3,4,0,0,0,0,0,4,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,11
17128706.Z,8,3,0,1,3,4,0,0,0,103,5,0,27,0,11,0,0,4,0,0,0,0,0,0,0,15,6,0,9,0,0,5,4,0,0,0,1,16,0,15,0,0,1,5,3,6,0,0,0,0,4,0,4,0,0,2,0,17,0,2,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,6,0,0,0,0,0,0,0,16
32214275.Z,11,3,1,2,5,3,0,0,7,122,7,2,24,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,16,0,0,9,10,1,0,0,2,22,8,1,0,0,0,9,2,7,1,0,0,0,2,0,4,5,0,3,4,6,0,3,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,1,1,2,0,0,0,0,0,0,16
36079889.Z,7,1,0,2,2,2,1,0,2,123,6,1,28,1,3,1,4,0,0,4,0,0,0,0,0,13,3,2,11,0,0,15,10,0,0,0,0,19,4,5,0,0,0,6,7,5,0,0,1,0,5,0,5,0,3,2,1,11,1,0,0,0,0,7,8,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,7,2,1,0,0,1,0,0,0,0,0,0,0,0,17
1170181.Z,6,1,0,3,2,1,0,0,2,116,4,2,22,1,8,0,0,0,1,0,0,1,0,0,0,11,3,1,14,0,0,12,9,1,0,0,0,18,4,8,0,0,2,4,2,2,0,0,0,0,6,0,5,0,2,4,2,9,0,3,0,0,0,6,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,3,1,0,0,0,0,0,0,14
