system,no_sent,no_corefs,sent_sentim_0,sent_sentim_1,sent_sentim_2,sent_sentim_3,sent_sentim_4,tok_sentim_0,tok_sentim_1,tok_sentim_2,tok_sentim_3,tok_sentim_4,no_openie,NUMBER,PERSON,LOCATION,DATE,ORGANIZATION,MISC,DURATION,TIME,SET,ORDINAL,MONEY,PERCENT,named_entities,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,OPEN_QUOT,PERIOD,COMMA,CLOSING_QUOT,TWO_PTS,SEMICOLON,DOLLAR,POUND,-LRB-,-RRB-,-LCB-,-RCB-,Attribution[S][N],Background[N][S],Background[S][N],Cause[N][S],Cause[S][N],Comparison[N][N],Comparison[N][S],Condition[N][S],Condition[S][N],Contrast[N][N],Contrast[N][S],Contrast[S][N],Elaboration[N][S],Enablement[N][S],Enablement[S][N],Evaluation[N][S],Evaluation[S][N],Explanation[N][S],Joint[N][N],same-unit[N][N],Summary[N][S],Temporal[N][N],Temporal[N][S],Temporal[S][N],textual-organization[N][N],Topic-Change[N][N],TotalRST
31032465_106.txt,3,3,0,3,0,0,0,0,7,108,4,1,42,2,6,2,0,1,1,0,0,0,0,0,0,12,1,2,16,0,4,15,8,0,0,0,0,18,8,14,0,0,0,0,0,0,0,0,0,0,5,0,3,1,4,2,0,4,1,0,0,0,4,3,2,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,10
13665311_106.txt,4,3,0,4,0,0,0,0,3,110,6,0,27,1,14,2,4,2,0,0,0,0,0,0,0,23,2,1,9,0,0,10,6,0,0,0,0,16,2,24,0,0,1,4,0,1,0,0,0,0,8,0,5,1,1,3,1,8,0,1,0,1,0,3,4,0,4,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,13
499431_116.txt,5,1,0,5,0,0,0,0,6,120,4,0,39,0,11,0,0,0,0,0,0,0,0,0,0,11,6,0,9,0,0,18,7,0,0,0,0,26,4,11,0,0,2,2,8,3,0,0,0,0,3,0,1,0,3,7,0,8,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,11
26054656_113.txt,4,4,0,3,0,1,0,0,2,107,9,0,31,0,8,2,0,0,0,0,0,0,0,0,0,10,2,0,12,0,0,11,11,0,0,0,0,17,5,15,0,0,1,3,2,4,0,0,0,0,6,0,4,0,1,4,2,4,0,1,0,0,0,4,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,11
2471946_118.txt,7,2,0,6,1,0,0,0,8,124,0,0,40,1,7,1,0,0,0,0,0,0,0,0,0,9,2,1,17,0,0,17,6,2,0,0,1,22,5,8,0,0,0,5,1,1,0,0,1,0,2,0,2,0,5,6,3,8,0,1,0,0,1,7,7,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,14
28625636_116.txt,6,2,0,5,0,1,0,0,7,130,0,1,39,0,12,0,7,0,0,1,0,0,0,0,0,20,8,3,6,0,0,12,11,0,0,0,0,19,8,12,0,0,3,2,6,7,0,0,0,0,2,0,2,0,2,3,1,12,0,0,0,0,0,6,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,11
27689047_112.txt,6,8,0,4,0,2,0,0,1,121,2,1,22,0,4,0,0,1,0,0,0,0,1,0,0,6,5,0,17,0,0,10,4,0,0,0,1,16,11,5,0,0,1,2,3,1,0,0,0,0,6,0,9,0,4,4,3,7,1,2,0,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,1,0,0,0,0,0,0,19
26762105_107.txt,4,4,0,3,0,1,0,0,3,106,5,2,44,0,16,2,0,2,0,2,0,0,0,0,0,22,7,1,10,0,0,14,9,0,0,0,1,23,0,16,0,0,0,0,3,1,0,0,0,0,3,0,3,0,2,4,1,7,1,0,0,1,0,4,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,3,1,0,0,0,0,0,0,12
23409969_108.txt,4,4,0,4,0,0,0,0,1,113,4,0,14,1,13,5,0,2,0,0,0,0,0,0,0,21,3,1,9,0,0,9,2,0,0,0,2,11,2,26,0,0,1,3,1,8,1,0,0,0,5,0,6,1,0,4,0,7,1,1,0,0,0,4,9,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,12
30834047_119.txt,5,4,0,5,0,0,0,0,1,127,5,0,111,0,16,3,0,0,0,0,0,0,0,0,0,19,4,0,14,0,0,12,11,0,0,0,0,18,4,19,0,0,4,6,1,4,0,0,0,0,5,0,5,1,2,1,1,8,0,0,0,1,0,5,7,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,3,0,0,1,0,0,0,0,14
1389387_106.txt,5,3,1,2,2,0,0,1,3,112,7,1,31,0,7,2,1,0,0,0,0,0,0,0,0,10,1,0,11,0,0,11,8,0,1,0,0,20,4,10,0,0,1,7,3,5,0,0,0,0,2,0,2,2,3,3,0,9,1,0,0,1,0,5,8,0,0,0,0,0,6,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,1,1,0,0,0,0,0,0,16
26007295_109.txt,3,5,0,2,0,1,0,0,5,105,7,0,19,1,9,2,0,2,0,0,0,0,0,0,0,14,6,0,17,0,0,11,9,0,0,0,1,17,7,14,0,0,0,1,5,0,0,0,0,0,3,0,2,0,3,1,4,3,0,0,0,2,1,3,6,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,9
15809123_106.txt,5,3,0,4,1,0,0,0,3,104,10,1,24,0,9,1,3,0,0,3,0,0,0,0,0,16,3,1,11,0,0,12,4,0,0,0,0,24,2,12,0,0,3,3,7,1,0,0,2,0,3,0,1,1,3,2,2,7,0,1,0,1,0,5,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,1,0,0,0,0,0,0,12
