Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_duc_F,4.02E-1,3.23E-1,4.51E-1,1.24E-1,2.36E-1,6.90E-3,1.57E-1,1.87E-2,1.26E-1,1.87E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_G,8.60E-2,3.38E-1,1.10E-1,3.38E-1,4.07E-2,4.32E-2,4.96E-1,9.84E-2,3.71E-1,9.84E-2,1.57E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_duc_H,1.23E-2,8.24E-2,1.98E-2,2.59E-1,6.80E-3,3.25E-1,1.30E-1,4.61E-1,2.59E-1,4.61E-1,3.09E-2,1.30E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_101,3.79E-1,1.73E-1,3.37E-1,5.89E-2,4.35E-1,2.33E-3,6.59E-2,6.69E-3,5.75E-2,6.69E-3,3.00E-1,6.59E-2,1.21E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_102,1.63E-1,4.19E-1,2.07E-1,3.17E-1,9.22E-2,4.65E-2,4.31E-1,9.34E-2,3.14E-1,9.34E-2,2.54E-1,4.31E-1,1.23E-1,1.30E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_103,8.71E-2,2.98E-1,1.18E-1,4.29E-1,4.85E-2,8.72E-2,4.26E-1,1.60E-1,4.29E-1,1.60E-1,1.57E-1,4.26E-1,1.96E-1,7.36E-2,3.80E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_104,3.15E-1,1.27E-1,2.73E-1,3.98E-2,4.68E-1,2.13E-3,5.86E-2,5.65E-3,4.00E-2,5.65E-3,2.33E-1,5.86E-2,8.96E-3,4.00E-1,9.32E-2,5.32E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_105,3.55E-1,1.43E-1,3.22E-1,4.05E-2,4.55E-1,1.34E-3,5.22E-2,4.30E-3,4.43E-2,4.30E-3,2.75E-1,5.22E-2,7.81E-3,4.80E-1,1.04E-1,5.47E-2,4.43E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_110,3.06E-1,1.19E-1,2.75E-1,3.20E-2,4.80E-1,6.24E-4,3.27E-2,2.29E-3,3.35E-2,2.29E-3,2.39E-1,3.27E-2,4.91E-3,4.55E-1,8.57E-2,4.18E-2,4.59E-1,4.67E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_111,1.06E-1,3.38E-1,1.34E-1,3.74E-1,5.21E-2,5.58E-2,5.00E-1,1.15E-1,3.87E-1,1.15E-1,1.76E-1,5.00E-1,1.53E-1,7.89E-2,4.23E-1,4.48E-1,6.26E-2,6.51E-2,4.58E-2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
