Annotator/summarizer,Humans_abstr_110,Humans_abstr_112,Humans_abstr_113,Humans_abstr_114,Humans_abstr_115,Humans_duc_A,Humans_duc_B,Humans_duc_C,Humans_duc_D,Humans_duc_E,Humans_duc_F,Humans_duc_G,Humans_duc_H,Humans_movi_101,Humans_movi_102,Humans_movi_103,Humans_movi_104,Humans_movi_105,Humans_movi_110,Humans_movi_111,Humans_movi_112,Humans_movi_113,Humans_movi_114,Humans_movi_115,Machines_base_Centroid,Machines_base_FreqSum,Machines_base_GreedyKL,Machines_base_LexRank,Machines_base_TsSum,Machines_soa_CLASSY04,Machines_soa_CLASSY11,Machines_soa_DPP,Machines_soa_ICSISumm,Machines_soa_OCCAMS_V,Machines_soa_RegSum,Machines_soa_Submodular
Humans_movi_112,3.43E-1,4.00E-1,4.06E-1,1.92E-1,2.17E-1,1.93E-2,2.45E-1,4.15E-2,1.77E-1,4.15E-2,4.50E-1,2.45E-1,6.02E-2,2.74E-1,3.27E-1,2.29E-1,1.90E-1,2.35E-1,2.20E-1,2.44E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_113,1.19E-1,4.44E-2,1.05E-1,1.17E-2,2.91E-1,1.40E-4,7.52E-3,5.42E-4,1.11E-2,5.42E-4,9.51E-2,7.52E-3,1.41E-3,2.41E-1,3.14E-2,1.39E-2,3.47E-1,2.38E-1,2.50E-1,1.28E-2,1.04E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_114,1.19E-1,4.00E-2,1.01E-1,9.90E-3,2.65E-1,1.61E-4,8.89E-3,5.76E-4,9.42E-3,5.76E-4,8.76E-2,8.89E-3,1.30E-3,2.15E-1,2.75E-2,1.26E-2,3.14E-1,2.29E-1,2.35E-1,1.27E-2,8.45E-2,4.60E-1,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Humans_movi_115,2.07E-1,8.08E-2,1.71E-1,2.51E-2,3.62E-1,8.20E-4,2.74E-2,2.35E-3,2.23E-2,2.35E-3,1.51E-1,2.74E-2,4.39E-3,3.02E-1,5.81E-2,3.12E-2,4.24E-1,3.35E-1,3.35E-1,3.18E-2,1.38E-1,4.64E-1,4.08E-1,--,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_Centroid,4.45E-4,8.10E-3,9.34E-4,5.04E-2,3.09E-4,2.61E-1,1.10E-2,1.63E-1,4.92E-2,1.63E-1,1.92E-3,1.10E-2,1.51E-1,6.89E-4,1.52E-2,2.98E-2,5.72E-4,3.29E-4,1.59E-4,1.75E-2,6.55E-3,4.48E-5,4.53E-5,2.48E-4,--,--,--,--,--,--,--,--,--,--,--,--
Machines_base_FreqSum,3.62E-2,1.95E-1,5.07E-2,4.91E-1,1.74E-2,1.15E-1,3.10E-1,2.14E-1,4.64E-1,2.14E-1,7.76E-2,3.10E-1,2.58E-1,3.01E-2,2.70E-1,3.99E-1,2.62E-2,2.21E-2,1.29E-2,3.22E-1,1.37E-1,2.95E-3,3.36E-3,1.16E-2,3.66E-2,--,--,--,--,--,--,--,--,--,--,--
Machines_base_GreedyKL,6.55E-5,2.00E-3,1.49E-4,1.82E-2,4.82E-5,1.31E-1,2.64E-3,7.16E-2,1.66E-2,7.16E-2,3.58E-4,2.64E-3,6.63E-2,1.21E-4,4.21E-3,9.36E-3,1.22E-4,5.39E-5,2.03E-5,4.62E-3,1.63E-3,5.09E-6,6.03E-6,4.35E-5,3.32E-1,1.12E-2,--,--,--,--,--,--,--,--,--,--
Machines_base_LexRank,8.20E-4,1.12E-2,1.65E-3,5.89E-2,5.47E-4,2.89E-1,1.61E-2,1.88E-1,6.05E-2,1.88E-1,3.08E-3,1.61E-2,1.71E-1,1.14E-3,2.00E-2,3.73E-2,8.54E-4,5.84E-4,3.14E-4,2.43E-2,8.81E-3,9.47E-5,8.57E-5,3.93E-4,4.88E-1,4.80E-2,3.15E-1,--,--,--,--,--,--,--,--,--
Machines_base_TsSum,1.99E-3,2.70E-2,3.57E-3,1.34E-1,1.10E-3,4.95E-1,4.32E-2,3.57E-1,1.24E-1,3.57E-1,6.90E-3,4.32E-2,3.25E-1,2.33E-3,4.65E-2,8.72E-2,2.13E-3,1.34E-3,6.24E-4,5.58E-2,1.93E-2,1.40E-4,1.61E-4,8.20E-4,2.61E-1,1.15E-1,1.31E-1,2.89E-1,--,--,--,--,--,--,--,--
Machines_soa_CLASSY04,6.74E-4,9.56E-3,1.32E-3,5.32E-2,4.11E-4,2.84E-1,1.51E-2,1.81E-1,5.32E-2,1.81E-1,2.48E-3,1.51E-2,1.61E-1,8.67E-4,1.72E-2,3.34E-2,7.04E-4,4.77E-4,2.34E-4,2.16E-2,7.01E-3,6.25E-5,6.01E-5,2.84E-4,4.94E-1,4.55E-2,3.15E-1,4.94E-1,2.84E-1,--,--,--,--,--,--,--
Machines_soa_CLASSY11,1.66E-4,3.54E-3,3.75E-4,2.49E-2,1.27E-4,1.55E-1,4.49E-3,9.06E-2,2.50E-2,9.06E-2,7.97E-4,4.49E-3,8.42E-2,2.92E-4,6.96E-3,1.40E-2,2.39E-4,1.30E-4,6.16E-5,7.90E-3,3.00E-3,1.88E-5,1.82E-5,1.05E-4,3.56E-1,1.67E-2,4.86E-1,3.44E-1,1.55E-1,3.50E-1,--,--,--,--,--,--
Machines_soa_DPP,3.62E-4,6.87E-3,7.36E-4,4.54E-2,2.30E-4,2.56E-1,1.03E-2,1.57E-1,4.31E-2,1.57E-1,1.53E-3,1.03E-2,1.42E-1,5.20E-4,1.31E-2,2.66E-2,4.69E-4,2.67E-4,1.17E-4,1.55E-2,5.18E-3,2.91E-5,3.14E-5,1.78E-4,5.00E-1,3.46E-2,3.32E-1,4.76E-1,2.56E-1,4.82E-1,3.62E-1,--,--,--,--,--
Machines_soa_ICSISumm,1.87E-4,4.85E-3,3.97E-4,3.84E-2,1.25E-4,2.30E-1,6.85E-3,1.35E-1,3.45E-2,1.35E-1,9.22E-4,6.85E-3,1.24E-1,3.03E-4,9.74E-3,2.09E-2,3.07E-4,1.44E-4,5.60E-5,1.09E-2,3.77E-3,1.30E-5,1.59E-5,1.09E-4,4.82E-1,2.59E-2,3.49E-1,4.58E-1,2.30E-1,4.58E-1,3.74E-1,4.82E-1,--,--,--,--
Machines_soa_OCCAMS_V,3.39E-3,3.52E-2,5.85E-3,1.51E-1,1.83E-3,4.74E-1,5.81E-2,3.90E-1,1.45E-1,3.90E-1,1.03E-2,5.81E-2,3.52E-1,3.63E-3,5.79E-2,1.04E-1,3.03E-3,2.22E-3,1.15E-3,7.21E-2,2.48E-2,2.80E-4,2.89E-4,1.24E-3,2.48E-1,1.41E-1,1.23E-1,2.75E-1,4.74E-1,2.66E-1,1.48E-1,2.39E-1,2.13E-1,--,--,--
Machines_soa_RegSum,4.12E-3,4.69E-2,6.96E-3,2.01E-1,2.17E-3,3.85E-1,7.61E-2,4.70E-1,1.85E-1,4.70E-1,1.29E-2,7.61E-2,4.31E-1,4.43E-3,7.70E-2,1.38E-1,4.06E-3,2.68E-3,1.29E-3,9.23E-2,3.31E-2,2.80E-4,3.30E-4,1.59E-3,1.73E-1,1.81E-1,7.71E-2,1.99E-1,3.85E-1,1.95E-1,9.50E-2,1.70E-1,1.46E-1,4.20E-1,--,--
Machines_soa_Submodular,3.39E-3,3.52E-2,5.85E-3,1.51E-1,1.83E-3,4.74E-1,5.81E-2,3.90E-1,1.45E-1,3.90E-1,1.03E-2,5.81E-2,3.52E-1,3.63E-3,5.79E-2,1.04E-1,3.03E-3,2.22E-3,1.15E-3,7.21E-2,2.48E-2,2.80E-4,2.89E-4,1.24E-3,2.48E-1,1.41E-1,1.23E-1,2.75E-1,4.74E-1,2.66E-1,1.48E-1,2.39E-1,2.13E-1,4.95E-1,4.20E-1,--
