,system_a,system_b,p_value
118,Humans_abstr_114,Humans_duc_F,3.11E-10
119,Humans_abstr_114,Humans_duc_G,4.20E-9
120,Humans_abstr_114,Humans_duc_H,2.07E-10
121,Humans_abstr_114,Humans_movi_101,8.08E-4
122,Humans_abstr_114,Humans_movi_102,1.69E-1
123,Humans_abstr_114,Humans_movi_103,1.23E-3
124,Humans_abstr_114,Humans_movi_104,5.31E-3
125,Humans_abstr_114,Humans_movi_105,7.15E-3
126,Humans_abstr_114,Humans_movi_110,1.11E-2
127,Humans_abstr_114,Humans_movi_111,3.80E-2
128,Humans_abstr_114,Humans_movi_112,5.28E-3
129,Humans_abstr_114,Humans_movi_113,2.18E-3
130,Humans_abstr_114,Humans_movi_114,1.14E-3
131,Humans_abstr_114,Humans_movi_115,5.48E-3
132,Humans_abstr_114,Machines_base_Centroid,1.56E-10
133,Humans_abstr_114,Machines_base_FreqSum,1.57E-10
134,Humans_abstr_114,Machines_base_GreedyKL,1.55E-10
135,Humans_abstr_114,Machines_base_LexRank,1.55E-10
136,Humans_abstr_114,Machines_base_TsSum,1.55E-10
137,Humans_abstr_114,Machines_soa_CLASSY04,1.59E-10
138,Humans_abstr_114,Machines_soa_CLASSY11,1.46E-10
139,Humans_abstr_114,Machines_soa_DPP,1.55E-10
140,Humans_abstr_114,Machines_soa_ICSISumm,1.52E-10
141,Humans_abstr_114,Machines_soa_OCCAMS_V,1.30E-9
142,Humans_abstr_114,Machines_soa_RegSum,1.55E-10
143,Humans_abstr_114,Machines_soa_Submodular,2.08E-10
149,Humans_abstr_115,Humans_duc_A,1.55E-10
150,Humans_abstr_115,Humans_duc_B,7.11E-5
151,Humans_abstr_115,Humans_duc_C,6.71E-10
152,Humans_abstr_115,Humans_duc_D,3.65E-8
153,Humans_abstr_115,Humans_duc_E,1.21E-8
154,Humans_abstr_115,Humans_duc_F,5.51E-10
155,Humans_abstr_115,Humans_duc_G,6.03E-9
156,Humans_abstr_115,Humans_duc_H,3.69E-10
157,Humans_abstr_115,Humans_movi_101,1.59E-3
158,Humans_abstr_115,Humans_movi_102,2.10E-1
159,Humans_abstr_115,Humans_movi_103,2.29E-3
160,Humans_abstr_115,Humans_movi_104,7.89E-3
161,Humans_abstr_115,Humans_movi_105,1.05E-2
162,Humans_abstr_115,Humans_movi_110,1.55E-2
163,Humans_abstr_115,Humans_movi_111,4.84E-2
164,Humans_abstr_115,Humans_movi_112,8.10E-3
165,Humans_abstr_115,Humans_movi_113,3.69E-3
166,Humans_abstr_115,Humans_movi_114,1.98E-3
167,Humans_abstr_115,Humans_movi_115,7.62E-3
168,Humans_abstr_115,Machines_base_Centroid,1.78E-10
169,Humans_abstr_115,Machines_base_FreqSum,2.63E-10
170,Humans_abstr_115,Machines_base_GreedyKL,2.01E-10
171,Humans_abstr_115,Machines_base_LexRank,1.65E-10
172,Humans_abstr_115,Machines_base_TsSum,2.29E-10
173,Humans_abstr_115,Machines_soa_CLASSY04,3.67E-10
174,Humans_abstr_115,Machines_soa_CLASSY11,2.16E-10
175,Humans_abstr_115,Machines_soa_DPP,3.35E-10
176,Humans_abstr_115,Machines_soa_ICSISumm,2.10E-10
177,Humans_abstr_115,Machines_soa_OCCAMS_V,2.72E-9
178,Humans_abstr_115,Machines_soa_RegSum,1.88E-10
179,Humans_abstr_115,Machines_soa_Submodular,2.69E-10
186,Humans_duc_A,Humans_duc_B,1.33E-8
187,Humans_duc_A,Humans_duc_C,1.79E-5
188,Humans_duc_A,Humans_duc_D,3.67E-8
189,Humans_duc_A,Humans_duc_E,1.62E-8
190,Humans_duc_A,Humans_duc_F,2.01E-4
191,Humans_duc_A,Humans_duc_G,3.88E-3
192,Humans_duc_A,Humans_duc_H,5.10E-7
193,Humans_duc_A,Humans_movi_101,6.75E-10
194,Humans_duc_A,Humans_movi_102,2.31E-10
195,Humans_duc_A,Humans_movi_103,8.42E-9
196,Humans_duc_A,Humans_movi_104,1.46E-9
197,Humans_duc_A,Humans_movi_105,4.94E-10
198,Humans_duc_A,Humans_movi_110,4.93E-10
199,Humans_duc_A,Humans_movi_111,3.66E-9
200,Humans_duc_A,Humans_movi_112,5.87E-10
201,Humans_duc_A,Humans_movi_113,5.32E-10
202,Humans_duc_A,Humans_movi_114,3.00E-9
203,Humans_duc_A,Humans_movi_115,4.93E-10
204,Humans_duc_A,Machines_base_Centroid,3.49E-1
205,Humans_duc_A,Machines_base_FreqSum,1.80E-6
206,Humans_duc_A,Machines_base_GreedyKL,4.90E-2
207,Humans_duc_A,Machines_base_LexRank,9.61E-2
208,Humans_duc_A,Machines_base_TsSum,2.70E-4
209,Humans_duc_A,Machines_soa_CLASSY04,4.13E-3
210,Humans_duc_A,Machines_soa_CLASSY11,2.00E-5
211,Humans_duc_A,Machines_soa_DPP,3.63E-3
212,Humans_duc_A,Machines_soa_ICSISumm,1.28E-3
213,Humans_duc_A,Machines_soa_OCCAMS_V,2.69E-8
214,Humans_duc_A,Machines_soa_RegSum,2.34E-3
215,Humans_duc_A,Machines_soa_Submodular,5.07E-2
223,Humans_duc_B,Humans_duc_C,4.73E-4
224,Humans_duc_B,Humans_duc_D,2.88E-2
225,Humans_duc_B,Humans_duc_E,2.76E-2
226,Humans_duc_B,Humans_duc_F,3.20E-5
227,Humans_duc_B,Humans_duc_G,6.53E-5
228,Humans_duc_B,Humans_duc_H,1.08E-3
229,Humans_duc_B,Humans_movi_101,1.24E-1
230,Humans_duc_B,Humans_movi_102,8.13E-4
231,Humans_duc_B,Humans_movi_103,8.35E-2
232,Humans_duc_B,Humans_movi_104,5.65E-2
233,Humans_duc_B,Humans_movi_105,2.97E-2
234,Humans_duc_B,Humans_movi_110,2.03E-2
235,Humans_duc_B,Humans_movi_111,1.11E-2
236,Humans_duc_B,Humans_movi_112,5.31E-2
237,Humans_duc_B,Humans_movi_113,6.72E-2
238,Humans_duc_B,Humans_movi_114,1.42E-1
239,Humans_duc_B,Humans_movi_115,4.22E-2
240,Humans_duc_B,Machines_base_Centroid,6.18E-8
241,Humans_duc_B,Machines_base_FreqSum,6.68E-4
242,Humans_duc_B,Machines_base_GreedyKL,4.04E-6
243,Humans_duc_B,Machines_base_LexRank,7.82E-7
244,Humans_duc_B,Machines_base_TsSum,9.78E-5
245,Humans_duc_B,Machines_soa_CLASSY04,3.84E-5
246,Humans_duc_B,Machines_soa_CLASSY11,2.91E-4
247,Humans_duc_B,Machines_soa_DPP,5.91E-5
248,Humans_duc_B,Machines_soa_ICSISumm,5.14E-5
249,Humans_duc_B,Machines_soa_OCCAMS_V,9.06E-3
250,Humans_duc_B,Machines_soa_RegSum,2.74E-5
251,Humans_duc_B,Machines_soa_Submodular,2.05E-6
260,Humans_duc_C,Humans_duc_D,8.85E-3
261,Humans_duc_C,Humans_duc_E,1.55E-2
262,Humans_duc_C,Humans_duc_F,1.70E-1
263,Humans_duc_C,Humans_duc_G,7.96E-2
264,Humans_duc_C,Humans_duc_H,3.67E-1
265,Humans_duc_C,Humans_movi_101,1.91E-7
266,Humans_duc_C,Humans_movi_102,3.28E-9
267,Humans_duc_C,Humans_movi_103,1.65E-7
268,Humans_duc_C,Humans_movi_104,2.16E-7
269,Humans_duc_C,Humans_movi_105,2.30E-8
270,Humans_duc_C,Humans_movi_110,4.99E-9
271,Humans_duc_C,Humans_movi_111,1.67E-7
272,Humans_duc_C,Humans_movi_112,4.41E-8
273,Humans_duc_C,Humans_movi_113,1.16E-7
274,Humans_duc_C,Humans_movi_114,4.11E-7
275,Humans_duc_C,Humans_movi_115,3.39E-7
276,Humans_duc_C,Machines_base_Centroid,9.21E-5
277,Humans_duc_C,Machines_base_FreqSum,3.82E-1
278,Humans_duc_C,Machines_base_GreedyKL,6.58E-3
279,Humans_duc_C,Machines_base_LexRank,1.70E-3
280,Humans_duc_C,Machines_base_TsSum,9.47E-2
281,Humans_duc_C,Machines_soa_CLASSY04,6.18E-2
282,Humans_duc_C,Machines_soa_CLASSY11,2.20E-1
283,Humans_duc_C,Machines_soa_DPP,1.30E-1
284,Humans_duc_C,Machines_soa_ICSISumm,7.21E-2
285,Humans_duc_C,Machines_soa_OCCAMS_V,6.01E-2
286,Humans_duc_C,Machines_soa_RegSum,4.19E-2
287,Humans_duc_C,Machines_soa_Submodular,4.78E-3
297,Humans_duc_D,Humans_duc_E,3.63E-1
298,Humans_duc_D,Humans_duc_F,5.09E-4
299,Humans_duc_D,Humans_duc_G,8.55E-4
300,Humans_duc_D,Humans_duc_H,1.05E-2
301,Humans_duc_D,Humans_movi_101,2.34E-4
302,Humans_duc_D,Humans_movi_102,1.65E-6
303,Humans_duc_D,Humans_movi_103,1.69E-4
304,Humans_duc_D,Humans_movi_104,7.26E-5
305,Humans_duc_D,Humans_movi_105,2.22E-5
306,Humans_duc_D,Humans_movi_110,1.69E-6
307,Humans_duc_D,Humans_movi_111,3.36E-5
308,Humans_duc_D,Humans_movi_112,1.85E-5
309,Humans_duc_D,Humans_movi_113,1.70E-4
310,Humans_duc_D,Humans_movi_114,2.26E-4
311,Humans_duc_D,Humans_movi_115,1.83E-4
312,Humans_duc_D,Machines_base_Centroid,3.16E-7
313,Humans_duc_D,Machines_base_FreqSum,1.68E-3
314,Humans_duc_D,Machines_base_GreedyKL,1.35E-5
315,Humans_duc_D,Machines_base_LexRank,2.39E-6
316,Humans_duc_D,Machines_base_TsSum,2.52E-4
317,Humans_duc_D,Machines_soa_CLASSY04,3.51E-4
318,Humans_duc_D,Machines_soa_CLASSY11,1.00E-3
319,Humans_duc_D,Machines_soa_DPP,4.62E-4
320,Humans_duc_D,Machines_soa_ICSISumm,1.59E-4
321,Humans_duc_D,Machines_soa_OCCAMS_V,7.68E-2
322,Humans_duc_D,Machines_soa_RegSum,6.76E-5
323,Humans_duc_D,Machines_soa_Submodular,2.46E-5
334,Humans_duc_E,Humans_duc_F,8.74E-4
335,Humans_duc_E,Humans_duc_G,9.77E-4
336,Humans_duc_E,Humans_duc_H,1.57E-2
337,Humans_duc_E,Humans_movi_101,4.25E-5
338,Humans_duc_E,Humans_movi_102,1.33E-7
339,Humans_duc_E,Humans_movi_103,1.21E-5
340,Humans_duc_E,Humans_movi_104,2.32E-5
341,Humans_duc_E,Humans_movi_105,2.64E-6
342,Humans_duc_E,Humans_movi_110,4.16E-7
343,Humans_duc_E,Humans_movi_111,7.24E-6
344,Humans_duc_E,Humans_movi_112,6.23E-6
345,Humans_duc_E,Humans_movi_113,2.52E-5
346,Humans_duc_E,Humans_movi_114,5.44E-5
347,Humans_duc_E,Humans_movi_115,4.50E-5
348,Humans_duc_E,Machines_base_Centroid,2.86E-7
349,Humans_duc_E,Machines_base_FreqSum,3.68E-3
350,Humans_duc_E,Machines_base_GreedyKL,1.54E-5
351,Humans_duc_E,Machines_base_LexRank,2.27E-6
352,Humans_duc_E,Machines_base_TsSum,3.36E-4
353,Humans_duc_E,Machines_soa_CLASSY04,9.17E-4
354,Humans_duc_E,Machines_soa_CLASSY11,1.68E-3
355,Humans_duc_E,Machines_soa_DPP,1.30E-3
356,Humans_duc_E,Machines_soa_ICSISumm,3.20E-4
357,Humans_duc_E,Machines_soa_OCCAMS_V,1.56E-1
358,Humans_duc_E,Machines_soa_RegSum,9.24E-5
359,Humans_duc_E,Machines_soa_Submodular,1.92E-5
371,Humans_duc_F,Humans_duc_G,2.80E-1
372,Humans_duc_F,Humans_duc_H,5.74E-2
373,Humans_duc_F,Humans_movi_101,6.05E-8
374,Humans_duc_F,Humans_movi_102,2.14E-9
375,Humans_duc_F,Humans_movi_103,1.48E-7
376,Humans_duc_F,Humans_movi_104,1.04E-7
377,Humans_duc_F,Humans_movi_105,1.25E-8
378,Humans_duc_F,Humans_movi_110,3.94E-9
379,Humans_duc_F,Humans_movi_111,7.55E-8
380,Humans_duc_F,Humans_movi_112,2.67E-8
381,Humans_duc_F,Humans_movi_113,4.20E-8
382,Humans_duc_F,Humans_movi_114,1.83E-7
383,Humans_duc_F,Humans_movi_115,4.66E-8
384,Humans_duc_F,Machines_base_Centroid,3.75E-4
385,Humans_duc_F,Machines_base_FreqSum,1.40E-1
386,Humans_duc_F,Machines_base_GreedyKL,4.27E-2
387,Humans_duc_F,Machines_base_LexRank,9.10E-3
388,Humans_duc_F,Machines_base_TsSum,4.96E-1
389,Humans_duc_F,Machines_soa_CLASSY04,3.67E-1
390,Humans_duc_F,Machines_soa_CLASSY11,2.11E-1
391,Humans_duc_F,Machines_soa_DPP,3.20E-1
392,Humans_duc_F,Machines_soa_ICSISumm,3.74E-1
393,Humans_duc_F,Machines_soa_OCCAMS_V,8.44E-3
394,Humans_duc_F,Machines_soa_RegSum,1.83E-1
395,Humans_duc_F,Machines_soa_Submodular,4.51E-2
408,Humans_duc_G,Humans_duc_H,2.65E-2
409,Humans_duc_G,Humans_movi_101,5.92E-7
410,Humans_duc_G,Humans_movi_102,2.57E-8
411,Humans_duc_G,Humans_movi_103,2.29E-6
412,Humans_duc_G,Humans_movi_104,8.27E-7
413,Humans_duc_G,Humans_movi_105,1.92E-7
414,Humans_duc_G,Humans_movi_110,8.20E-8
415,Humans_duc_G,Humans_movi_111,7.56E-7
416,Humans_duc_G,Humans_movi_112,1.98E-7
417,Humans_duc_G,Humans_movi_113,3.78E-7
418,Humans_duc_G,Humans_movi_114,1.58E-6
419,Humans_duc_G,Humans_movi_115,4.34E-7
420,Humans_duc_G,Machines_base_Centroid,4.14E-3
421,Humans_duc_G,Machines_base_FreqSum,6.63E-2
422,Humans_duc_G,Machines_base_GreedyKL,1.54E-1
423,Humans_duc_G,Machines_base_LexRank,8.40E-2
424,Humans_duc_G,Machines_base_TsSum,3.07E-1
425,Humans_duc_G,Machines_soa_CLASSY04,4.88E-1
426,Humans_duc_G,Machines_soa_CLASSY11,1.27E-1
427,Humans_duc_G,Machines_soa_DPP,4.96E-1
428,Humans_duc_G,Machines_soa_ICSISumm,4.23E-1
429,Humans_duc_G,Machines_soa_OCCAMS_V,4.51E-3
430,Humans_duc_G,Machines_soa_RegSum,4.73E-1
431,Humans_duc_G,Machines_soa_Submodular,1.68E-1
445,Humans_duc_H,Humans_movi_101,6.92E-8
446,Humans_duc_H,Humans_movi_102,1.08E-9
447,Humans_duc_H,Humans_movi_103,6.64E-8
448,Humans_duc_H,Humans_movi_104,2.00E-7
449,Humans_duc_H,Humans_movi_105,6.19E-9
450,Humans_duc_H,Humans_movi_110,2.03E-9
451,Humans_duc_H,Humans_movi_111,7.04E-8
452,Humans_duc_H,Humans_movi_112,2.34E-8
453,Humans_duc_H,Humans_movi_113,2.25E-8
454,Humans_duc_H,Humans_movi_114,1.25E-7
455,Humans_duc_H,Humans_movi_115,7.40E-8
456,Humans_duc_H,Machines_base_Centroid,8.23E-6
457,Humans_duc_H,Machines_base_FreqSum,2.83E-1
458,Humans_duc_H,Machines_base_GreedyKL,2.75E-3
459,Humans_duc_H,Machines_base_LexRank,2.31E-4
460,Humans_duc_H,Machines_base_TsSum,4.70E-2
461,Humans_duc_H,Machines_soa_CLASSY04,5.14E-2
462,Humans_duc_H,Machines_soa_CLASSY11,1.29E-1
463,Humans_duc_H,Machines_soa_DPP,1.12E-1
464,Humans_duc_H,Machines_soa_ICSISumm,4.04E-2
465,Humans_duc_H,Machines_soa_OCCAMS_V,8.81E-2
466,Humans_duc_H,Machines_soa_RegSum,1.58E-2
467,Humans_duc_H,Machines_soa_Submodular,1.15E-3
482,Humans_movi_101,Humans_movi_102,2.13E-2
483,Humans_movi_101,Humans_movi_103,3.96E-1
484,Humans_movi_101,Humans_movi_104,2.86E-1
485,Humans_movi_101,Humans_movi_105,2.36E-1
486,Humans_movi_101,Humans_movi_110,1.04E-1
487,Humans_movi_101,Humans_movi_111,1.33E-1
488,Humans_movi_101,Humans_movi_112,2.29E-1
489,Humans_movi_101,Humans_movi_113,4.19E-1
490,Humans_movi_101,Humans_movi_114,4.72E-1
491,Humans_movi_101,Humans_movi_115,3.87E-1
492,Humans_movi_101,Machines_base_Centroid,1.40E-9
493,Humans_movi_101,Machines_base_FreqSum,1.19E-8
494,Humans_movi_101,Machines_base_GreedyKL,2.81E-9
495,Humans_movi_101,Machines_base_LexRank,2.11E-9
496,Humans_movi_101,Machines_base_TsSum,7.50E-9
497,Humans_movi_101,Machines_soa_CLASSY04,1.86E-8
498,Humans_movi_101,Machines_soa_CLASSY11,1.15E-8
499,Humans_movi_101,Machines_soa_DPP,1.38E-8
500,Humans_movi_101,Machines_soa_ICSISumm,5.47E-9
501,Humans_movi_101,Machines_soa_OCCAMS_V,2.07E-6
502,Humans_movi_101,Machines_soa_RegSum,4.26E-9
503,Humans_movi_101,Machines_soa_Submodular,1.20E-8
519,Humans_movi_102,Humans_movi_103,2.66E-2
520,Humans_movi_102,Humans_movi_104,6.79E-2
521,Humans_movi_102,Humans_movi_105,6.08E-2
522,Humans_movi_102,Humans_movi_110,1.20E-1
523,Humans_movi_102,Humans_movi_111,1.78E-1
524,Humans_movi_102,Humans_movi_112,8.40E-2
525,Humans_movi_102,Humans_movi_113,3.00E-2
526,Humans_movi_102,Humans_movi_114,2.30E-2
527,Humans_movi_102,Humans_movi_115,3.80E-2
528,Humans_movi_102,Machines_base_Centroid,2.65E-10
529,Humans_movi_102,Machines_base_FreqSum,3.65E-10
530,Humans_movi_102,Machines_base_GreedyKL,2.64E-10
