,system_a,system_b,p_value
118,Humans_abstr_114,Humans_duc_F,9.63E-6
119,Humans_abstr_114,Humans_duc_G,4.78E-9
120,Humans_abstr_114,Humans_duc_H,2.99E-8
121,Humans_abstr_114,Humans_movi_101,5.68E-7
122,Humans_abstr_114,Humans_movi_102,1.25E-6
123,Humans_abstr_114,Humans_movi_103,2.66E-6
124,Humans_abstr_114,Humans_movi_104,5.17E-6
125,Humans_abstr_114,Humans_movi_105,9.29E-6
126,Humans_abstr_114,Humans_movi_110,1.44E-5
127,Humans_abstr_114,Humans_movi_111,1.35E-6
128,Humans_abstr_114,Humans_movi_112,4.76E-8
129,Humans_abstr_114,Humans_movi_113,4.89E-4
130,Humans_abstr_114,Humans_movi_114,6.75E-3
131,Humans_abstr_114,Humans_movi_115,5.17E-6
132,Humans_abstr_114,Machines_base_Centroid,4.45E-10
133,Humans_abstr_114,Machines_base_FreqSum,4.20E-10
134,Humans_abstr_114,Machines_base_GreedyKL,2.41E-10
135,Humans_abstr_114,Machines_base_LexRank,2.32E-10
136,Humans_abstr_114,Machines_base_TsSum,9.58E-10
137,Humans_abstr_114,Machines_soa_CLASSY04,1.09E-8
138,Humans_abstr_114,Machines_soa_CLASSY11,8.40E-9
139,Humans_abstr_114,Machines_soa_DPP,5.82E-10
140,Humans_abstr_114,Machines_soa_ICSISumm,2.28E-8
141,Humans_abstr_114,Machines_soa_OCCAMS_V,3.57E-9
142,Humans_abstr_114,Machines_soa_RegSum,4.20E-10
143,Humans_abstr_114,Machines_soa_Submodular,2.40E-8
149,Humans_abstr_115,Humans_duc_A,4.51E-10
150,Humans_abstr_115,Humans_duc_B,3.05E-9
151,Humans_abstr_115,Humans_duc_C,2.34E-6
152,Humans_abstr_115,Humans_duc_D,1.67E-8
153,Humans_abstr_115,Humans_duc_E,2.49E-6
154,Humans_abstr_115,Humans_duc_F,7.41E-6
155,Humans_abstr_115,Humans_duc_G,6.60E-9
156,Humans_abstr_115,Humans_duc_H,3.50E-8
157,Humans_abstr_115,Humans_movi_101,4.75E-7
158,Humans_abstr_115,Humans_movi_102,1.18E-6
159,Humans_abstr_115,Humans_movi_103,2.47E-6
160,Humans_abstr_115,Humans_movi_104,4.17E-6
161,Humans_abstr_115,Humans_movi_105,8.93E-6
162,Humans_abstr_115,Humans_movi_110,1.14E-5
163,Humans_abstr_115,Humans_movi_111,1.31E-6
164,Humans_abstr_115,Humans_movi_112,5.66E-8
165,Humans_abstr_115,Humans_movi_113,3.57E-4
166,Humans_abstr_115,Humans_movi_114,4.11E-3
167,Humans_abstr_115,Humans_movi_115,4.17E-6
168,Humans_abstr_115,Machines_base_Centroid,4.55E-10
169,Humans_abstr_115,Machines_base_FreqSum,3.81E-10
170,Humans_abstr_115,Machines_base_GreedyKL,2.26E-10
171,Humans_abstr_115,Machines_base_LexRank,3.09E-10
172,Humans_abstr_115,Machines_base_TsSum,8.75E-10
173,Humans_abstr_115,Machines_soa_CLASSY04,1.20E-8
174,Humans_abstr_115,Machines_soa_CLASSY11,7.33E-9
175,Humans_abstr_115,Machines_soa_DPP,6.80E-10
176,Humans_abstr_115,Machines_soa_ICSISumm,2.62E-8
177,Humans_abstr_115,Machines_soa_OCCAMS_V,3.70E-9
178,Humans_abstr_115,Machines_soa_RegSum,4.05E-10
179,Humans_abstr_115,Machines_soa_Submodular,2.76E-8
186,Humans_duc_A,Humans_duc_B,2.51E-2
187,Humans_duc_A,Humans_duc_C,7.63E-3
