,system_a,system_b,p_value
118,Humans_abstr_114,Humans_duc_F,3.26E-9
119,Humans_abstr_114,Humans_duc_G,7.27E-9
120,Humans_abstr_114,Humans_duc_H,3.90E-9
121,Humans_abstr_114,Humans_movi_101,6.51E-8
122,Humans_abstr_114,Humans_movi_102,1.21E-8
123,Humans_abstr_114,Humans_movi_103,2.21E-8
124,Humans_abstr_114,Humans_movi_104,5.89E-8
125,Humans_abstr_114,Humans_movi_105,3.85E-6
126,Humans_abstr_114,Humans_movi_110,1.60E-9
127,Humans_abstr_114,Humans_movi_111,2.47E-7
128,Humans_abstr_114,Humans_movi_112,5.06E-9
129,Humans_abstr_114,Humans_movi_113,6.70E-7
130,Humans_abstr_114,Humans_movi_114,8.05E-7
131,Humans_abstr_114,Humans_movi_115,3.80E-7
132,Humans_abstr_114,Machines_base_Centroid,6.19E-10
133,Humans_abstr_114,Machines_base_FreqSum,7.13E-10
134,Humans_abstr_114,Machines_base_GreedyKL,6.27E-10
135,Humans_abstr_114,Machines_base_LexRank,8.98E-10
136,Humans_abstr_114,Machines_base_TsSum,6.26E-10
137,Humans_abstr_114,Machines_soa_CLASSY04,2.05E-9
138,Humans_abstr_114,Machines_soa_CLASSY11,6.08E-10
139,Humans_abstr_114,Machines_soa_DPP,6.96E-10
140,Humans_abstr_114,Machines_soa_ICSISumm,7.95E-10
141,Humans_abstr_114,Machines_soa_OCCAMS_V,2.17E-9
142,Humans_abstr_114,Machines_soa_RegSum,6.64E-10
143,Humans_abstr_114,Machines_soa_Submodular,1.49E-9
149,Humans_abstr_115,Humans_duc_A,8.00E-10
150,Humans_abstr_115,Humans_duc_B,9.25E-10
151,Humans_abstr_115,Humans_duc_C,9.46E-10
152,Humans_abstr_115,Humans_duc_D,1.14E-9
153,Humans_abstr_115,Humans_duc_E,6.93E-10
154,Humans_abstr_115,Humans_duc_F,1.94E-9
155,Humans_abstr_115,Humans_duc_G,2.75E-9
156,Humans_abstr_115,Humans_duc_H,1.84E-9
157,Humans_abstr_115,Humans_movi_101,1.38E-8
158,Humans_abstr_115,Humans_movi_102,4.07E-9
159,Humans_abstr_115,Humans_movi_103,6.49E-9
160,Humans_abstr_115,Humans_movi_104,1.34E-8
161,Humans_abstr_115,Humans_movi_105,9.39E-7
162,Humans_abstr_115,Humans_movi_110,1.34E-9
163,Humans_abstr_115,Humans_movi_111,2.98E-8
164,Humans_abstr_115,Humans_movi_112,3.05E-9
165,Humans_abstr_115,Humans_movi_113,1.87E-7
166,Humans_abstr_115,Humans_movi_114,1.15E-7
167,Humans_abstr_115,Humans_movi_115,8.65E-8
168,Humans_abstr_115,Machines_base_Centroid,5.49E-10
169,Humans_abstr_115,Machines_base_FreqSum,5.94E-10
170,Humans_abstr_115,Machines_base_GreedyKL,5.56E-10
171,Humans_abstr_115,Machines_base_LexRank,8.96E-10
172,Humans_abstr_115,Machines_base_TsSum,5.55E-10
173,Humans_abstr_115,Machines_soa_CLASSY04,1.28E-9
174,Humans_abstr_115,Machines_soa_CLASSY11,5.39E-10
175,Humans_abstr_115,Machines_soa_DPP,5.80E-10
176,Humans_abstr_115,Machines_soa_ICSISumm,5.89E-10
177,Humans_abstr_115,Machines_soa_OCCAMS_V,1.36E-9
178,Humans_abstr_115,Machines_soa_RegSum,5.55E-10
179,Humans_abstr_115,Machines_soa_Submodular,1.13E-9
186,Humans_duc_A,Humans_duc_B,3.03E-1
187,Humans_duc_A,Humans_duc_C,4.35E-2
188,Humans_duc_A,Humans_duc_D,4.69E-1
189,Humans_duc_A,Humans_duc_E,3.75E-2
190,Humans_duc_A,Humans_duc_F,2.67E-1
191,Humans_duc_A,Humans_duc_G,5.43E-3
192,Humans_duc_A,Humans_duc_H,6.97E-2
193,Humans_duc_A,Humans_movi_101,1.33E-3
194,Humans_duc_A,Humans_movi_102,5.80E-5
195,Humans_duc_A,Humans_movi_103,4.00E-4
196,Humans_duc_A,Humans_movi_104,3.45E-4
197,Humans_duc_A,Humans_movi_105,6.27E-3
198,Humans_duc_A,Humans_movi_110,1.05E-2
199,Humans_duc_A,Humans_movi_111,7.43E-4
200,Humans_duc_A,Humans_movi_112,8.69E-4
201,Humans_duc_A,Humans_movi_113,2.03E-4
202,Humans_duc_A,Humans_movi_114,2.80E-3
203,Humans_duc_A,Humans_movi_115,2.31E-2
204,Humans_duc_A,Machines_base_Centroid,7.73E-3
205,Humans_duc_A,Machines_base_FreqSum,4.54E-5
206,Humans_duc_A,Machines_base_GreedyKL,1.88E-4
207,Humans_duc_A,Machines_base_LexRank,1.62E-2
208,Humans_duc_A,Machines_base_TsSum,8.74E-7
209,Humans_duc_A,Machines_soa_CLASSY04,3.71E-1
210,Humans_duc_A,Machines_soa_CLASSY11,3.74E-1
211,Humans_duc_A,Machines_soa_DPP,2.60E-1
212,Humans_duc_A,Machines_soa_ICSISumm,3.67E-1
213,Humans_duc_A,Machines_soa_OCCAMS_V,2.67E-1
214,Humans_duc_A,Machines_soa_RegSum,2.10E-4
215,Humans_duc_A,Machines_soa_Submodular,1.99E-1
223,Humans_duc_B,Humans_duc_C,1.27E-1
224,Humans_duc_B,Humans_duc_D,3.70E-1
225,Humans_duc_B,Humans_duc_E,9.92E-2
226,Humans_duc_B,Humans_duc_F,4.92E-1
227,Humans_duc_B,Humans_duc_G,1.61E-2
228,Humans_duc_B,Humans_duc_H,1.85E-1
229,Humans_duc_B,Humans_movi_101,3.62E-3
230,Humans_duc_B,Humans_movi_102,1.81E-4
231,Humans_duc_B,Humans_movi_103,1.49E-3
232,Humans_duc_B,Humans_movi_104,8.97E-4
233,Humans_duc_B,Humans_movi_105,1.54E-2
234,Humans_duc_B,Humans_movi_110,2.72E-2
235,Humans_duc_B,Humans_movi_111,2.25E-3
236,Humans_duc_B,Humans_movi_112,2.45E-3
237,Humans_duc_B,Humans_movi_113,6.84E-4
238,Humans_duc_B,Humans_movi_114,7.29E-3
239,Humans_duc_B,Humans_movi_115,4.79E-2
240,Humans_duc_B,Machines_base_Centroid,1.66E-3
241,Humans_duc_B,Machines_base_FreqSum,1.12E-5
242,Humans_duc_B,Machines_base_GreedyKL,2.74E-5
243,Humans_duc_B,Machines_base_LexRank,6.00E-3
244,Humans_duc_B,Machines_base_TsSum,1.84E-7
245,Humans_duc_B,Machines_soa_CLASSY04,2.01E-1
246,Humans_duc_B,Machines_soa_CLASSY11,1.44E-1
247,Humans_duc_B,Machines_soa_DPP,6.81E-2
248,Humans_duc_B,Machines_soa_ICSISumm,1.73E-1
249,Humans_duc_B,Machines_soa_OCCAMS_V,4.81E-1
250,Humans_duc_B,Machines_soa_RegSum,5.28E-5
251,Humans_duc_B,Machines_soa_Submodular,4.77E-1
260,Humans_duc_C,Humans_duc_D,7.50E-2
261,Humans_duc_C,Humans_duc_E,4.11E-1
262,Humans_duc_C,Humans_duc_F,1.91E-1
263,Humans_duc_C,Humans_duc_G,1.16E-1
264,Humans_duc_C,Humans_duc_H,3.81E-1
265,Humans_duc_C,Humans_movi_101,3.84E-2
266,Humans_duc_C,Humans_movi_102,3.50E-3
267,Humans_duc_C,Humans_movi_103,1.81E-2
268,Humans_duc_C,Humans_movi_104,1.33E-2
269,Humans_duc_C,Humans_movi_105,6.58E-2
270,Humans_duc_C,Humans_movi_110,2.24E-1
271,Humans_duc_C,Humans_movi_111,1.96E-2
272,Humans_duc_C,Humans_movi_112,3.67E-2
273,Humans_duc_C,Humans_movi_113,9.03E-3
274,Humans_duc_C,Humans_movi_114,4.53E-2
275,Humans_duc_C,Humans_movi_115,2.21E-1
276,Humans_duc_C,Machines_base_Centroid,9.08E-5
277,Humans_duc_C,Machines_base_FreqSum,8.86E-7
278,Humans_duc_C,Machines_base_GreedyKL,1.02E-6
279,Humans_duc_C,Machines_base_LexRank,2.43E-4
280,Humans_duc_C,Machines_base_TsSum,1.17E-8
281,Humans_duc_C,Machines_soa_CLASSY04,4.26E-2
282,Humans_duc_C,Machines_soa_CLASSY11,1.10E-2
283,Humans_duc_C,Machines_soa_DPP,6.55E-3
284,Humans_duc_C,Machines_soa_ICSISumm,1.74E-2
285,Humans_duc_C,Machines_soa_OCCAMS_V,1.34E-1
286,Humans_duc_C,Machines_soa_RegSum,3.76E-6
287,Humans_duc_C,Machines_soa_Submodular,1.91E-1
297,Humans_duc_D,Humans_duc_E,4.43E-2
298,Humans_duc_D,Humans_duc_F,2.80E-1
299,Humans_duc_D,Humans_duc_G,1.06E-2
300,Humans_duc_D,Humans_duc_H,1.16E-1
301,Humans_duc_D,Humans_movi_101,2.63E-3
302,Humans_duc_D,Humans_movi_102,9.01E-5
303,Humans_duc_D,Humans_movi_103,1.33E-3
304,Humans_duc_D,Humans_movi_104,5.44E-4
305,Humans_duc_D,Humans_movi_105,9.11E-3
306,Humans_duc_D,Humans_movi_110,1.86E-2
307,Humans_duc_D,Humans_movi_111,1.61E-3
308,Humans_duc_D,Humans_movi_112,1.93E-3
309,Humans_duc_D,Humans_movi_113,4.58E-4
