,system_a,system_b,p_value
1,Humans_abstr_110,Humans_abstr_112,2.11E-1
2,Humans_abstr_110,Humans_abstr_113,3.47E-2
3,Humans_abstr_110,Humans_abstr_114,3.52E-1
4,Humans_abstr_110,Humans_abstr_115,5.00E-1
5,Humans_abstr_110,Humans_duc_A,4.24E-6
6,Humans_abstr_110,Humans_duc_B,7.75E-4
7,Humans_abstr_110,Humans_duc_C,1.30E-6
8,Humans_abstr_110,Humans_duc_D,8.86E-4
9,Humans_abstr_110,Humans_duc_E,1.50E-4
10,Humans_abstr_110,Humans_duc_F,2.21E-4
11,Humans_abstr_110,Humans_duc_G,2.07E-3
12,Humans_abstr_110,Humans_duc_H,1.33E-5
13,Humans_abstr_110,Humans_movi_101,4.82E-3
14,Humans_abstr_110,Humans_movi_102,6.23E-3
15,Humans_abstr_110,Humans_movi_103,1.57E-1
16,Humans_abstr_110,Humans_movi_104,2.06E-2
17,Humans_abstr_110,Humans_movi_105,1.60E-1
18,Humans_abstr_110,Humans_movi_110,3.67E-3
19,Humans_abstr_110,Humans_movi_111,2.91E-2
20,Humans_abstr_110,Humans_movi_112,4.79E-2
21,Humans_abstr_110,Humans_movi_113,7.15E-2
22,Humans_abstr_110,Humans_movi_114,1.80E-1
23,Humans_abstr_110,Humans_movi_115,3.71E-2
24,Humans_abstr_110,Machines_base_Centroid,3.79E-3
25,Humans_abstr_110,Machines_base_FreqSum,6.62E-4
26,Humans_abstr_110,Machines_base_GreedyKL,1.23E-3
27,Humans_abstr_110,Machines_base_LexRank,3.63E-3
28,Humans_abstr_110,Machines_base_TsSum,2.93E-4
29,Humans_abstr_110,Machines_soa_CLASSY04,1.03E-5
30,Humans_abstr_110,Machines_soa_CLASSY11,9.87E-6
31,Humans_abstr_110,Machines_soa_DPP,3.50E-5
32,Humans_abstr_110,Machines_soa_ICSISumm,2.06E-5
33,Humans_abstr_110,Machines_soa_OCCAMS_V,4.16E-5
34,Humans_abstr_110,Machines_soa_RegSum,4.98E-4
35,Humans_abstr_110,Machines_soa_Submodular,9.76E-7
38,Humans_abstr_112,Humans_abstr_113,1.11E-1
39,Humans_abstr_112,Humans_abstr_114,3.34E-1
40,Humans_abstr_112,Humans_abstr_115,2.10E-1
41,Humans_abstr_112,Humans_duc_A,1.81E-5
42,Humans_abstr_112,Humans_duc_B,3.97E-3
43,Humans_abstr_112,Humans_duc_C,5.03E-6
44,Humans_abstr_112,Humans_duc_D,4.17E-3
45,Humans_abstr_112,Humans_duc_E,8.78E-4
46,Humans_abstr_112,Humans_duc_F,1.14E-3
47,Humans_abstr_112,Humans_duc_G,1.25E-2
48,Humans_abstr_112,Humans_duc_H,7.23E-5
49,Humans_abstr_112,Humans_movi_101,2.43E-2
50,Humans_abstr_112,Humans_movi_102,2.88E-2
51,Humans_abstr_112,Humans_movi_103,4.19E-1
52,Humans_abstr_112,Humans_movi_104,8.42E-2
53,Humans_abstr_112,Humans_movi_105,3.88E-1
54,Humans_abstr_112,Humans_movi_110,1.89E-2
55,Humans_abstr_112,Humans_movi_111,1.42E-1
56,Humans_abstr_112,Humans_movi_112,1.58E-1
57,Humans_abstr_112,Humans_movi_113,2.03E-1
58,Humans_abstr_112,Humans_movi_114,4.04E-1
59,Humans_abstr_112,Humans_movi_115,1.18E-1
60,Humans_abstr_112,Machines_base_Centroid,2.13E-2
61,Humans_abstr_112,Machines_base_FreqSum,4.52E-3
62,Humans_abstr_112,Machines_base_GreedyKL,5.94E-3
63,Humans_abstr_112,Machines_base_LexRank,1.61E-2
64,Humans_abstr_112,Machines_base_TsSum,1.59E-3
65,Humans_abstr_112,Machines_soa_CLASSY04,4.62E-5
66,Humans_abstr_112,Machines_soa_CLASSY11,4.16E-5
67,Humans_abstr_112,Machines_soa_DPP,1.59E-4
68,Humans_abstr_112,Machines_soa_ICSISumm,9.50E-5
69,Humans_abstr_112,Machines_soa_OCCAMS_V,2.06E-4
70,Humans_abstr_112,Machines_soa_RegSum,2.12E-3
71,Humans_abstr_112,Machines_soa_Submodular,3.42E-6
75,Humans_abstr_113,Humans_abstr_114,5.98E-2
76,Humans_abstr_113,Humans_abstr_115,2.88E-2
77,Humans_abstr_113,Humans_duc_A,8.99E-4
78,Humans_abstr_113,Humans_duc_B,9.08E-2
79,Humans_abstr_113,Humans_duc_C,1.72E-4
80,Humans_abstr_113,Humans_duc_D,5.11E-2
81,Humans_abstr_113,Humans_duc_E,3.75E-2
82,Humans_abstr_113,Humans_duc_F,2.34E-2
83,Humans_abstr_113,Humans_duc_G,1.97E-1
84,Humans_abstr_113,Humans_duc_H,5.03E-3
85,Humans_abstr_113,Humans_movi_101,1.93E-1
86,Humans_abstr_113,Humans_movi_102,2.43E-1
87,Humans_abstr_113,Humans_movi_103,1.32E-1
88,Humans_abstr_113,Humans_movi_104,4.11E-1
89,Humans_abstr_113,Humans_movi_105,2.03E-1
90,Humans_abstr_113,Humans_movi_110,2.59E-1
91,Humans_abstr_113,Humans_movi_111,2.78E-1
92,Humans_abstr_113,Humans_movi_112,3.77E-1
93,Humans_abstr_113,Humans_movi_113,4.00E-1
94,Humans_abstr_113,Humans_movi_114,2.23E-1
95,Humans_abstr_113,Humans_movi_115,4.11E-1
96,Humans_abstr_113,Machines_base_Centroid,3.36E-1
97,Humans_abstr_113,Machines_base_FreqSum,1.28E-1
98,Humans_abstr_113,Machines_base_GreedyKL,7.37E-2
