,system_a,system_b,p_value
118,Humans_abstr_114,Humans_duc_F,2.50E-2
119,Humans_abstr_114,Humans_duc_G,8.65E-3
120,Humans_abstr_114,Humans_duc_H,4.72E-3
121,Humans_abstr_114,Humans_movi_101,8.35E-9
122,Humans_abstr_114,Humans_movi_102,1.10E-8
123,Humans_abstr_114,Humans_movi_103,2.54E-7
124,Humans_abstr_114,Humans_movi_104,4.92E-9
125,Humans_abstr_114,Humans_movi_105,2.06E-6
126,Humans_abstr_114,Humans_movi_110,3.24E-2
127,Humans_abstr_114,Humans_movi_111,1.66E-2
128,Humans_abstr_114,Humans_movi_112,1.47E-2
129,Humans_abstr_114,Humans_movi_113,4.65E-1
130,Humans_abstr_114,Humans_movi_114,1.34E-1
131,Humans_abstr_114,Humans_movi_115,1.23E-1
132,Humans_abstr_114,Machines_base_Centroid,1.49E-8
133,Humans_abstr_114,Machines_base_FreqSum,4.90E-8
134,Humans_abstr_114,Machines_base_GreedyKL,2.73E-8
135,Humans_abstr_114,Machines_base_LexRank,5.45E-8
136,Humans_abstr_114,Machines_base_TsSum,2.26E-8
137,Humans_abstr_114,Machines_soa_CLASSY04,1.53E-6
138,Humans_abstr_114,Machines_soa_CLASSY11,1.23E-9
139,Humans_abstr_114,Machines_soa_DPP,1.66E-2
140,Humans_abstr_114,Machines_soa_ICSISumm,1.10E-8
141,Humans_abstr_114,Machines_soa_OCCAMS_V,3.32E-8
142,Humans_abstr_114,Machines_soa_RegSum,8.77E-8
143,Humans_abstr_114,Machines_soa_Submodular,8.17E-3
149,Humans_abstr_115,Humans_duc_A,6.60E-6
150,Humans_abstr_115,Humans_duc_B,5.13E-3
151,Humans_abstr_115,Humans_duc_C,6.54E-7
152,Humans_abstr_115,Humans_duc_D,9.44E-5
153,Humans_abstr_115,Humans_duc_E,2.26E-6
154,Humans_abstr_115,Humans_duc_F,1.31E-2
155,Humans_abstr_115,Humans_duc_G,6.60E-3
156,Humans_abstr_115,Humans_duc_H,1.37E-3
157,Humans_abstr_115,Humans_movi_101,8.78E-9
158,Humans_abstr_115,Humans_movi_102,1.88E-8
159,Humans_abstr_115,Humans_movi_103,2.40E-7
160,Humans_abstr_115,Humans_movi_104,1.60E-8
161,Humans_abstr_115,Humans_movi_105,1.36E-6
162,Humans_abstr_115,Humans_movi_110,2.90E-2
163,Humans_abstr_115,Humans_movi_111,6.57E-3
164,Humans_abstr_115,Humans_movi_112,5.41E-3
165,Humans_abstr_115,Humans_movi_113,4.19E-1
166,Humans_abstr_115,Humans_movi_114,1.56E-1
167,Humans_abstr_115,Humans_movi_115,1.70E-1
168,Humans_abstr_115,Machines_base_Centroid,6.75E-9
169,Humans_abstr_115,Machines_base_FreqSum,2.69E-8
170,Humans_abstr_115,Machines_base_GreedyKL,7.11E-9
171,Humans_abstr_115,Machines_base_LexRank,1.65E-8
172,Humans_abstr_115,Machines_base_TsSum,1.29E-8
173,Humans_abstr_115,Machines_soa_CLASSY04,1.26E-6
174,Humans_abstr_115,Machines_soa_CLASSY11,4.71E-9
175,Humans_abstr_115,Machines_soa_DPP,9.54E-3
176,Humans_abstr_115,Machines_soa_ICSISumm,2.51E-8
177,Humans_abstr_115,Machines_soa_OCCAMS_V,4.58E-8
178,Humans_abstr_115,Machines_soa_RegSum,4.33E-8
179,Humans_abstr_115,Machines_soa_Submodular,3.43E-3
186,Humans_duc_A,Humans_duc_B,1.58E-2
187,Humans_duc_A,Humans_duc_C,6.97E-2
188,Humans_duc_A,Humans_duc_D,4.38E-1
189,Humans_duc_A,Humans_duc_E,4.08E-1
190,Humans_duc_A,Humans_duc_F,8.55E-3
191,Humans_duc_A,Humans_duc_G,3.77E-2
192,Humans_duc_A,Humans_duc_H,5.11E-2
193,Humans_duc_A,Humans_movi_101,9.38E-4
194,Humans_duc_A,Humans_movi_102,2.77E-3
195,Humans_duc_A,Humans_movi_103,6.72E-3
196,Humans_duc_A,Humans_movi_104,9.43E-3
197,Humans_duc_A,Humans_movi_105,1.96E-1
198,Humans_duc_A,Humans_movi_110,1.66E-2
199,Humans_duc_A,Humans_movi_111,3.85E-3
200,Humans_duc_A,Humans_movi_112,7.08E-3
201,Humans_duc_A,Humans_movi_113,2.33E-5
202,Humans_duc_A,Humans_movi_114,1.28E-6
203,Humans_duc_A,Humans_movi_115,2.18E-7
204,Humans_duc_A,Machines_base_Centroid,6.91E-10
205,Humans_duc_A,Machines_base_FreqSum,6.85E-10
206,Humans_duc_A,Machines_base_GreedyKL,6.88E-10
207,Humans_duc_A,Machines_base_LexRank,6.90E-10
208,Humans_duc_A,Machines_base_TsSum,6.69E-10
209,Humans_duc_A,Machines_soa_CLASSY04,1.51E-1
210,Humans_duc_A,Machines_soa_CLASSY11,2.02E-5
211,Humans_duc_A,Machines_soa_DPP,1.40E-2
212,Humans_duc_A,Machines_soa_ICSISumm,2.76E-4
213,Humans_duc_A,Machines_soa_OCCAMS_V,2.05E-2
214,Humans_duc_A,Machines_soa_RegSum,6.82E-10
215,Humans_duc_A,Machines_soa_Submodular,2.20E-2
223,Humans_duc_B,Humans_duc_C,7.41E-4
224,Humans_duc_B,Humans_duc_D,6.11E-2
225,Humans_duc_B,Humans_duc_E,9.07E-3
226,Humans_duc_B,Humans_duc_F,4.30E-1
227,Humans_duc_B,Humans_duc_G,3.85E-1
228,Humans_duc_B,Humans_duc_H,4.00E-1
229,Humans_duc_B,Humans_movi_101,5.91E-6
230,Humans_duc_B,Humans_movi_102,7.61E-6
231,Humans_duc_B,Humans_movi_103,7.85E-5
232,Humans_duc_B,Humans_movi_104,9.70E-6
233,Humans_duc_B,Humans_movi_105,1.47E-3
234,Humans_duc_B,Humans_movi_110,3.67E-1
235,Humans_duc_B,Humans_movi_111,3.49E-1
236,Humans_duc_B,Humans_movi_112,3.93E-1
237,Humans_duc_B,Humans_movi_113,9.60E-3
238,Humans_duc_B,Humans_movi_114,5.66E-4
239,Humans_duc_B,Humans_movi_115,3.85E-4
240,Humans_duc_B,Machines_base_Centroid,7.36E-10
241,Humans_duc_B,Machines_base_FreqSum,8.75E-10
