,system_a,system_b,p_value
118,Humans_abstr_114,Humans_duc_F,4.50E-3
119,Humans_abstr_114,Humans_duc_G,1.04E-2
120,Humans_abstr_114,Humans_duc_H,9.16E-3
121,Humans_abstr_114,Humans_movi_101,2.94E-4
122,Humans_abstr_114,Humans_movi_102,2.58E-5
123,Humans_abstr_114,Humans_movi_103,4.50E-4
124,Humans_abstr_114,Humans_movi_104,1.83E-4
125,Humans_abstr_114,Humans_movi_105,4.38E-5
126,Humans_abstr_114,Humans_movi_110,1.02E-5
127,Humans_abstr_114,Humans_movi_111,5.05E-3
128,Humans_abstr_114,Humans_movi_112,1.70E-5
129,Humans_abstr_114,Humans_movi_113,1.71E-4
130,Humans_abstr_114,Humans_movi_114,9.49E-4
131,Humans_abstr_114,Humans_movi_115,2.91E-5
132,Humans_abstr_114,Machines_base_Centroid,1.44E-3
133,Humans_abstr_114,Machines_base_FreqSum,3.55E-2
134,Humans_abstr_114,Machines_base_GreedyKL,2.45E-1
135,Humans_abstr_114,Machines_base_LexRank,1.58E-4
136,Humans_abstr_114,Machines_base_TsSum,1.16E-1
137,Humans_abstr_114,Machines_soa_CLASSY04,1.31E-2
138,Humans_abstr_114,Machines_soa_CLASSY11,1.91E-4
139,Humans_abstr_114,Machines_soa_DPP,2.87E-1
140,Humans_abstr_114,Machines_soa_ICSISumm,3.91E-3
141,Humans_abstr_114,Machines_soa_OCCAMS_V,6.10E-4
142,Humans_abstr_114,Machines_soa_RegSum,1.89E-1
143,Humans_abstr_114,Machines_soa_Submodular,1.31E-5
149,Humans_abstr_115,Humans_duc_A,2.16E-3
150,Humans_abstr_115,Humans_duc_B,1.07E-3
151,Humans_abstr_115,Humans_duc_C,7.03E-4
152,Humans_abstr_115,Humans_duc_D,1.35E-3
153,Humans_abstr_115,Humans_duc_E,4.95E-5
154,Humans_abstr_115,Humans_duc_F,7.48E-4
155,Humans_abstr_115,Humans_duc_G,1.44E-3
156,Humans_abstr_115,Humans_duc_H,4.82E-4
157,Humans_abstr_115,Humans_movi_101,5.35E-5
158,Humans_abstr_115,Humans_movi_102,1.50E-6
159,Humans_abstr_115,Humans_movi_103,2.91E-5
160,Humans_abstr_115,Humans_movi_104,2.38E-5
161,Humans_abstr_115,Humans_movi_105,4.97E-6
162,Humans_abstr_115,Humans_movi_110,1.59E-6
163,Humans_abstr_115,Humans_movi_111,2.20E-4
164,Humans_abstr_115,Humans_movi_112,9.40E-7
165,Humans_abstr_115,Humans_movi_113,5.01E-6
166,Humans_abstr_115,Humans_movi_114,4.98E-5
167,Humans_abstr_115,Humans_movi_115,1.57E-6
168,Humans_abstr_115,Machines_base_Centroid,6.00E-5
169,Humans_abstr_115,Machines_base_FreqSum,2.84E-3
170,Humans_abstr_115,Machines_base_GreedyKL,1.31E-2
171,Humans_abstr_115,Machines_base_LexRank,4.18E-6
172,Humans_abstr_115,Machines_base_TsSum,8.03E-3
173,Humans_abstr_115,Machines_soa_CLASSY04,7.26E-4
174,Humans_abstr_115,Machines_soa_CLASSY11,6.28E-6
175,Humans_abstr_115,Machines_soa_DPP,1.28E-2
176,Humans_abstr_115,Machines_soa_ICSISumm,1.98E-4
177,Humans_abstr_115,Machines_soa_OCCAMS_V,1.16E-4
178,Humans_abstr_115,Machines_soa_RegSum,2.36E-1
179,Humans_abstr_115,Machines_soa_Submodular,2.88E-6
186,Humans_duc_A,Humans_duc_B,3.38E-1
187,Humans_duc_A,Humans_duc_C,3.21E-1
188,Humans_duc_A,Humans_duc_D,4.00E-1
189,Humans_duc_A,Humans_duc_E,5.25E-2
190,Humans_duc_A,Humans_duc_F,2.42E-1
191,Humans_duc_A,Humans_duc_G,2.80E-1
192,Humans_duc_A,Humans_duc_H,2.21E-1
193,Humans_duc_A,Humans_movi_101,3.62E-2
194,Humans_duc_A,Humans_movi_102,1.26E-3
195,Humans_duc_A,Humans_movi_103,1.63E-2
196,Humans_duc_A,Humans_movi_104,2.02E-2
197,Humans_duc_A,Humans_movi_105,5.96E-3
198,Humans_duc_A,Humans_movi_110,8.01E-4
199,Humans_duc_A,Humans_movi_111,1.63E-1
200,Humans_duc_A,Humans_movi_112,8.25E-4
201,Humans_duc_A,Humans_movi_113,1.85E-3
202,Humans_duc_A,Humans_movi_114,1.84E-2
203,Humans_duc_A,Humans_movi_115,2.08E-3
204,Humans_duc_A,Machines_base_Centroid,4.94E-2
205,Humans_duc_A,Machines_base_FreqSum,4.38E-1
206,Humans_duc_A,Machines_base_GreedyKL,2.55E-1
207,Humans_duc_A,Machines_base_LexRank,1.53E-3
208,Humans_duc_A,Machines_base_TsSum,3.49E-1
209,Humans_duc_A,Machines_soa_CLASSY04,2.05E-1
210,Humans_duc_A,Machines_soa_CLASSY11,5.34E-3
211,Humans_duc_A,Machines_soa_DPP,3.31E-1
212,Humans_duc_A,Machines_soa_ICSISumm,1.03E-1
213,Humans_duc_A,Machines_soa_OCCAMS_V,1.61E-1
214,Humans_duc_A,Machines_soa_RegSum,4.90E-3
215,Humans_duc_A,Machines_soa_Submodular,8.01E-4
223,Humans_duc_B,Humans_duc_C,4.73E-1
224,Humans_duc_B,Humans_duc_D,3.67E-1
225,Humans_duc_B,Humans_duc_E,1.42E-1
226,Humans_duc_B,Humans_duc_F,4.96E-1
227,Humans_duc_B,Humans_duc_G,4.31E-1
228,Humans_duc_B,Humans_duc_H,3.31E-1
229,Humans_duc_B,Humans_movi_101,1.01E-1
230,Humans_duc_B,Humans_movi_102,4.79E-3
231,Humans_duc_B,Humans_movi_103,3.03E-2
232,Humans_duc_B,Humans_movi_104,1.05E-1
233,Humans_duc_B,Humans_movi_105,1.88E-2
234,Humans_duc_B,Humans_movi_110,2.46E-3
235,Humans_duc_B,Humans_movi_111,3.74E-1
236,Humans_duc_B,Humans_movi_112,2.47E-3
237,Humans_duc_B,Humans_movi_113,6.07E-3
238,Humans_duc_B,Humans_movi_114,4.55E-2
239,Humans_duc_B,Humans_movi_115,1.37E-2
240,Humans_duc_B,Machines_base_Centroid,8.22E-2
